|Rathunt|Nina: Egy Ügynök Naplója|A Mesterlövész|Mortyr 2093-1944|2|0
|Wanted Guns|Redneck Rampage|Postal|Re-Loaded|0|1
|The Flintstones: The Rescue of Dino & Hoppy|The Flintstones: Dino Lost in Bedrock|Akimbo (A kis kung-fu harcos)|Deathbringer|1|5
|Grand Prix Circuit|Power Surge|Big Rigs: Over The Road Racing|Streets Racer|2|6
|F-22: Air Dominance Fighter|F-22: Lightning|Red Baron|Top Gun|2|8
|Frontline Berlin 1945|Airbone Hero|Mortyr 2093-1944|The Heat of War|1|13
|Xtreme Boarders|Scooter Pro|X Scooter|Tony Hawk Pro Skater|1|15
|America's 10 Most Wanted|Marine Sharpshooter 3|Amerika Titkos Hadmûveletei|The Heat of War|2|16
|Wolfenstein 3D|Mortyr 2093-1944|Quake|Codename Eagle|1|19
|Power Surge|Downtown Challenge|Streets Racer|Velocity Prologue|2|20
|Marine Heavy Gunner - Vietnam|Battlestrike - Harc a Csodafegyverért|Frontline Berlin 1945|The Heat of War|3|22
|America's 10 Most Wanted|Marine Heavy Gunner - Vietnam|The Heat of War|Amerika Titkos Hadmûveletei|0|25
|Lego Island|Lego Island 2|Lego Racers|Lego Racers 2|0|33
|Terminator 1 - A halálosztó|Terminator 2 - Az ítélet napja|Terminator 3 - A gépek lázadása|Terminator 4 - Megváltás|2|34
|Leisure Suit Larry - in the Land of the Lounge Lizards|Leisure Suit Larry 2 - Goes looking for Love|Lula 3D|A Mesterlövész|2|94
|Pet Racer|Wacky Wheels|Super Karts|BC Racers|0|39
|Sid Meier's Railroad Tycoon|Railroad Tycoon II|Guldkorn Expressen|War Train|3|40
|Trucker|Test Drive|Downtown Challenge|Bus Driver|3|47
|Wolfschanze|Return to Castle Wolfenstein|Mortyr 2093-1944|Stalin Subway 2|0|48
|Excitebike|Mach Rider|4D Sports Driving|Evel Knievel 3D|3|49
|One Must Fall|Bikini Karate Babes|Mortal Kombat|Tekken|1|56
|Ringriker|Heretic|Hexen: Beyond Heretic|Diablo II|0|57
